cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,gfx,tflops,bw,_tag
256,1,3072,512,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,4.576,flydsl_moe1_abf16_wfp4bf16_bf16_t16x64x256_gui,0.0%,5.786,flydsl_moe2_abf16_wfp4bf16_bf16_t16x128x256_atomic,,10.21,0,0,0.0,gfx950,0.0,0.0,
256,2,3072,512,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,4.576,flydsl_moe1_abf16_wfp4bf16_bf16_t16x64x256_gui,0.0%,5.968,flydsl_moe2_abf16_wfp4bf16_bf16_t16x128x128_atomic,,10.55,0,0,0.0,gfx950,0.0,0.0,
256,4,3072,512,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,4.688,flydsl_moe1_abf16_wfp4bf16_bf16_t16x64x256_gui,0.0%,6.624,flydsl_moe2_abf16_wfp4bf16_bf16_t16x128x128_atomic,,11.40,0,0,0.0,gfx950,0.0,0.0,
256,8,3072,512,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,4.780,flydsl_moe1_abf16_wfp4bf16_bf16_t16x64x256_gui,0.0%,7.518,flydsl_moe2_abf16_wfp4bf16_bf16_t16x128x128_atomic,,12.22,0,0,0.0,gfx950,0.0,0.0,
256,16,3072,512,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,5.428,flydsl_moe1_abf16_wfp4bf16_bf16_t16x64x256_gui,0.0%,13.73,flydsl_moe2_abf16_wfp4bf16_bf16_t16x128x128_atomic,,20.66,0,0,0.0,gfx950,0.0,0.0,
256,32,3072,512,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,8.242,flydsl_moe1_abf16_wfp4bf16_bf16_t16x64x128_gui,0.0%,21.15,flydsl_moe2_abf16_wfp4bf16_bf16_t16x128x128_atomic_persist,,31.77,0,0,0.0,gfx950,0.0,0.0,
256,48,3072,512,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,8.240,flydsl_moe1_abf16_wfp4bf16_bf16_t16x64x256_gui,0.0%,21.20,flydsl_moe2_abf16_wfp4bf16_bf16_t16x128x128_atomic,,29.86,0,0,0.0,gfx950,0.0,0.0,
256,64,3072,512,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,8.238,flydsl_moe1_abf16_wfp4bf16_bf16_t16x64x256_gui,0.0%,21.31,flydsl_moe2_abf16_wfp4bf16_bf16_t16x128x128_atomic,,29.77,0,0,0.0,gfx950,0.0,0.0,
256,128,3072,512,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,8.244,flydsl_moe1_abf16_wfp4bf16_bf16_t16x64x128_gui,0.0%,21.76,flydsl_moe2_abf16_wfp4bf16_bf16_t16x128x128_atomic_persist,,33.15,0,0,0.0,gfx950,0.0,0.0,
256,256,3072,512,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,8.454,flydsl_moe1_abf16_wfp4bf16_bf16_t16x64x128_gui,0.0%,23.32,flydsl_moe2_abf16_wfp4bf16_bf16_t16x128x128_atomic,,35.19,0,0,0.0,gfx950,0.0,0.0,
